name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Frozen Novelties, Fudgesicle Pops",112.25,0.97,1.6,3.6,22.28,,,,TRUE,
"Frozen Novelties, Ice Crm Type",188.8,6,0.3,4.3,29.4,,,,TRUE,
"Frozen Novelties, Ice Type",132,0,0,0.4,32.6,,,,TRUE,
"Frozen Novelties, Juc Type",94.68,0,0.1,0.5,23.17,,,,TRUE,
"Frozen Novelties, Klondike",229.88,4,3.8,3.72,44.75,,,,TRUE,
"Frozen Novelties, Sugar Free",74.25,2.33,7.5,1.37,11.95,,,,TRUE,
"Frozen Novl, Klondike",236.37,11.93,4.8,5.16,27.09,,,,TRUE,
"Frozen Yogurts, Choc",169.6,6,2.2,4,24.9,,,,TRUE,
"Frozen Yogurts, Flavors Other Than Choc",130.8,3.6,0,3,21.6,,,,TRUE,
"Frozen Yogurts, Vanilla",163.2,5.6,0,4,24.2,,,,TRUE,
"Fruit Butters, Apple",174.14,0.3,1.5,0.39,42.47,,,,TRUE,
"Fruit Cocktail, Cnd",36.17,0.05,1,0.42,8.51,,,,TRUE,
"Fruit Punch Drk, Cnd",47.88,0,0,0,11.97,,,,TRUE,
"Fruit Punch Drk, Frz Conc",166.4,0,0.4,0.2,41.4,,,,TRUE,
"Fruit Punch Juc Drk, Frz Conc",179.9,0.7,0.2,0.3,43.1,,,,TRUE,
"Fruit Punch-Flavor Drk, Pdr",391.7,0.1,0,0,97.7,,,,TRUE,
"Fruit, Mxd",270.49,0.49,7.8,2.46,64.06,,,,TRUE,
"Fruit-Flavored Drk Mix, Pdr",365.2,0,0,0,91.3,,,,TRUE,
"Fruit-Flavored Drk, Dry Pdr Mix",349.56,0.04,0.1,0.45,86.85,,,,TRUE,
"Fruit-Flavored Drk, Pdr",366.44,0.16,2.2,0.25,91,,,,TRUE,
"Frybread, Made W/ Lard",329.78,12.22,0,6.69,48.26,,,,TRUE,
"Frz Nvl, Klondike",154.44,1.88,6,4.31,30.07,,,,TRUE,
"Fst Fd, Pzza Chn",263.55,9.51,1.7,11.91,32.58,,,,TRUE,
"Fst Foods, Chsbrgr",305.45,13.93,1,15.13,29.89,,,,TRUE,
"Fst Foods, Potato",318.53,17.05,3.5,3.76,37.51,,,,TRUE,
"Ft Fds, Hambrger; Sin",226.01,12.37,1.5,11.34,17.33,,,,TRUE,
"Fungi, Cloud Ears",335.61,0.73,70.1,9.25,73.01,,,,TRUE,
"Game Meat Bison, Ground",218.05,15.93,0,18.67,0,,,,TRUE,
"Game Meat Bison, Top Sirloin",163.05,5.65,0,28.05,0,,,,TRUE,
"Game Meat, Antelope",107.79,2.03,0,22.38,0,,,,TRUE,
"Game Meat, Bear",155.1,8.3,0,20.1,0,,,,TRUE,
"Game Meat, Beaver",139.4,4.8,0,24.05,0,,,,TRUE,
"Game Meat, Beefalo",136.4,4.8,0,23.3,0,,,,TRUE,
"Game Meat, Bison",103.04,1.84,0,21.62,0,,,,TRUE,
"Game Meat, Boar",116.01,3.33,0,21.51,0,,,,TRUE,
"Game Meat, Buffalo",93.89,1.37,0,20.39,0,,,,TRUE,
"Game Meat, Caribou",120.76,3.36,0,22.63,0,,,,TRUE,
"Game Meat, Deer",113.62,2.42,0,22.96,0,,,,TRUE,
"Game Meat, Elk",104.85,1.45,0,22.95,0,,,,TRUE,
"Game Meat, Goat",135.67,3.03,0,27.1,0,,,,TRUE,
"Game Meat, Horse",126.96,4.6,0,21.39,0,,,,TRUE,
"Game Meat, Moose",95.62,0.74,0,22.24,0,,,,TRUE,
"Game Meat, Muskrat",155.94,8.1,0,20.76,0,,,,TRUE,
"Game Meat, Opossum",212.6,10.2,0,30.2,0,,,,TRUE,
"Game Meat, Rabbit",108.04,2.32,0,21.79,0,,,,TRUE,
"Game Meat, Raccoon",247.3,14.5,0,29.2,0,,,,TRUE,
"Game Meat, Squirrel",113.81,3.21,0,21.23,0,,,,TRUE,
Garlic,162.18,0.5,2.1,6.36,33.06,,,,TRUE,
Garlic Powder,364.88,0.76,9.9,16.8,72.71,,,,TRUE,
"Gefiltefish, Comm",81.49,1.73,0,9.07,7.41,,,,TRUE,
"Gelatin Dssrt, Dry Mix",393.2,0,0,7.8,90.5,,,,TRUE,
"Gelatins, Dry Pdr",343.3,0.1,0,85.6,0,,,,TRUE,
"General Mills, Betty Crocker Wild Blueberry Muffin Mix",320.9,4.5,0,5.2,64.9,,,,TRUE,
"General Mills, Gold Medal Imitation Blueberry Muffin Mix",409.8,8.6,0,4.3,78.8,,,,TRUE,
"George Weston Baker, Brownberry Sage & Onion Stuffing Mix",389.9,5.1,5.4,13.3,72.7,,,,TRUE,
"George Weston Bakeries, Thomas Eng Muffins",232.2,1.8,0,8,46,,,,TRUE,
Ginger Root,85.11,0.75,2,1.82,17.77,,,,TRUE,
"Ginger, Ground",373.19,5.95,12.5,9.12,70.79,,,,TRUE,
Ginkgo Nuts,182.8,1.68,0,4.32,37.6,,,,TRUE,
"Ginkgo Nuts, Canned",112.14,1.62,9.3,2.29,22.1,,,,TRUE,
"Ginkgo Nuts, Dried",349.2,2,0,10.35,72.45,,,,TRUE,
Goat,103.19,2.31,0,20.6,0,,,,TRUE,
"Goose, Domesticated",366.02,33.62,0,15.86,0,,,,TRUE,
"Goose, Liver",129.28,4.28,0,16.37,6.32,,,,TRUE,
Gooseberries,49.46,0.58,4.3,0.88,10.18,,,,TRUE,
"Gooseberries, Cnd",79.4,0.2,2.4,0.65,18.75,,,,TRUE,
"Gourd, Dishcloth",24.04,0.2,0,1.2,4.36,,,,TRUE,
"Gourd, White-Flowered",16.22,0.02,0,0.62,3.39,,,,TRUE,
"Grape Drink, Canned",63,0,0,0,15.75,,,,TRUE,
"Grape Juc Cocktail, Frz Conc",182.87,0.31,0.3,0.65,44.37,,,,TRUE,
"Grape Juc, Cnd Or Btld",61.73,0.13,0.2,0.37,14.77,,,,TRUE,
"Grape Juice Drink, Canned",58.2,0,0.1,0,14.55,,,,TRUE,
Grape Leaves,110.72,2.12,11,5.6,17.31,,,,TRUE,
"Grape Leaves, Cnd",81.65,1.97,0,4.27,11.71,,,,TRUE,
"Grapefruit Juc, White",39.7,0.1,0.1,0.5,9.2,,,,TRUE,
"Grapefruit Juice, Pink",39.7,0.1,0,0.5,9.2,,,,TRUE,
"Grapefruit, Pink & Red",33.1,0.1,1.1,0.55,7.5,,,,TRUE,
"Grapefruit, Pink&Red",41.66,0.1,0,0.5,9.69,,,,TRUE,
"Grapefruit, Pink&Red&White",35.74,0.1,1.1,0.63,8.08,,,,TRUE,
"Grapefruit, Sections",39.82,0.1,0.4,0.58,9.15,,,,TRUE,
"Grapefruit, White",40.78,0.1,0,0.88,9.09,,,,TRUE,
"Grapes, American Type",74.27,0.35,0.9,0.63,17.15,,,,TRUE,
"Grapes, Cnd",44.19,0.11,0.6,0.5,10.3,,,,TRUE,
"Grapes, Red Or Grn",76.72,0.16,0.9,0.72,18.1,,,,TRUE,
"Gravy, Au Jus",16.6,0.2,0,1.2,2.5,,,,TRUE,
"Gravy, Bf",55.48,2.36,0.4,3.75,4.81,,,,TRUE,
"Gravy, Brown",366.97,9.61,2,10.74,59.38,,,,TRUE,
"Gravy, Brown Inst",379.89,11.85,3.2,8.53,59.78,,,,TRUE,
"Gravy, Chick",80.79,5.71,0.4,1.93,5.42,,,,TRUE,
"Gravy, Chicken",381.01,9.73,0,11.27,62.09,,,,TRUE,
"Gravy, Inst Bf",368.92,9.48,4.3,9.8,61.1,,,,TRUE,
"Gravy, Inst Turkey",409.06,14.66,3.8,11.72,57.56,,,,TRUE,
"Gravy, Meat Or Poultry",61.44,2.4,0.3,3.8,6.16,,,,TRUE,
"Gravy, Mushroom",51.31,2.71,0.4,1.26,5.47,,,,TRUE,
"Gravy, Onion",333.56,3,6,9,67.64,,,,TRUE,
"Gravy, Pork",367.07,8.63,2.4,8.78,63.57,,,,TRUE,
"Gravy, Turkey",49.7,2.1,0.4,2.6,5.1,,,,TRUE,
"Gravy, Unspec Type",356,8,0,13,58,,,,TRUE,
"Green Giant, Broccoli In Chs Flav Sau",67.3,2.5,0,2.3,8.9,,,,TRUE,
Groundcherries,58.7,0.7,0,1.9,11.2,,,,TRUE,
"Grouper, Mixed Species",86.7,1.02,0,19.38,0,,,,TRUE,
"Grouper, Mxd Sp",111.06,1.3,0,24.84,0,,,,TRUE,
"Gry, Hnz Home Style Beef Gravy",39.49,1.13,0.7,1.09,6.24,,,,TRUE,
"Guanabana Nectar, Cnd",61.69,0.17,0.1,0.11,14.93,,,,TRUE,
"Guava Nectar, Cnd",60.38,0.06,1,0.09,14.87,,,,TRUE,
Guava Sauce,40.46,0.14,3.6,0.32,9.48,,,,TRUE,
"Guavas, Common",76.03,0.95,5.4,2.55,14.32,,,,TRUE,
"Guavas, Strawberry",77.16,0.6,5.4,0.58,17.36,,,,TRUE,
"Guinea Hen, Meat Only",104.79,2.47,0,20.64,0,,,,TRUE,
"Guinea Hen, Meat&Skn",151.65,6.45,0,23.4,0,,,,TRUE,
Haddock,82.12,0.72,0,18.91,0,,,,TRUE,
"Haddock, Dry Heat",105.33,0.93,0,24.24,0,,,,TRUE,
"Halibut, Atlantic&Pacific",103.85,2.29,0,20.81,0,,,,TRUE,
"Halibut, Greenland",182.04,13.84,0,14.37,0,,,,TRUE,
Ham Honey Smoked Ckd,122.13,2.37,0,17.93,7.27,,,,TRUE,
"Ham, Chopped",234.83,18.83,0,16.06,0.28,,,,TRUE,
"Ham, Minced",258.64,20.68,0,16.28,1.85,,,,TRUE,
"Ham, Sliced",101.71,2.59,0,18.85,0.75,,,,TRUE,
Hazelnuts Or Filberts,673.35,60.75,9.7,14.95,16.7,,,,TRUE,
"Hazelnuts Or Filberts, Dry Rstd",692.12,62.4,9.4,15.03,17.6,,,,TRUE,
"Hc Chk Enchi Supma In Grn Chili Sau, Mexi Rice",110.01,2.45,1.5,3.79,18.2,,,,TRUE,
"Hc Contry Rstd Tky W/Cranberry Appl Sau, Grn Bns & Carrot Bld",81.36,1.52,2.4,5.83,11.09,,,,TRUE,
"Hc Mesq Bf W/Bbq Sau, Rstd Red Pot & Corn",110.08,2.64,1.9,7.14,14.44,,,,TRUE,
"Hc Salbry Stk W/Mshrm Grvy, Rst Red Pot",94.32,2.16,2,6.03,12.69,,,,TRUE,
"Hc Tradition Mt Lf W/Brn Sau, Mshd Pots",87.28,2.6,1.9,5.17,10.8,,,,TRUE,
"Headcheese, Pork",153.42,10.9,0,13.83,0,,,,TRUE,
"Healthy Choic Chick Teriyaki W/Rice Medley Broccoli, Frz Meal",79.61,1.53,3,5.03,11.43,,,,TRUE,
"Healthy Choic Mesq Chk Bbq, Rstd Red Pot",92.64,1.48,2.2,5.67,14.16,,,,TRUE,
"Hearts Of Palm, Canned",34.14,0.62,2.4,2.52,4.62,,,,TRUE,
"Heinz, Weight Watcher",240.9,6.9,2.1,4.4,40.3,,,,TRUE,
"Herring, Atlantic",153.2,9.04,0,17.96,0,,,,TRUE,
"Herring, Pacific",190.48,13.88,0,16.39,0,,,,TRUE,
"Hickorynuts, Dried",703.21,64.37,6.4,12.72,18.25,,,,TRUE,
"Hodgson Mill, Whl Wheat Macaroni&Chs Dinner",375.5,4.7,7.6,14.1,69.2,,,,TRUE,
"Hominy, Canned",70.88,0.88,2.5,1.48,14.26,,,,TRUE,
Honey,330.8,0,0.2,0.3,82.4,,,,TRUE,
"Hormel Always Tender, Bnless Pork Loin",143.74,7.18,0,19.02,0.76,,,,TRUE,
"Hormel Always Tender, Cntr Cut Chops",164.9,9.62,0,18.74,0.84,,,,TRUE,
"Hormel Always Tender, Pork Loin Filets",115.92,4.16,0,17.83,1.79,,,,TRUE,
"Hormel Always Tender, Pork Tenderloin",118.95,3.07,0,18.2,4.63,,,,TRUE,
"Hormel Spam, Lt Lunch Mt",191.42,13.9,0,15.23,1.35,,,,TRUE,
"Hormel, Cure 81 Ham",106.87,3.59,0,18.43,0.21,,,,TRUE,
"Horseradish, Prepared",56.09,0.69,3.3,1.18,11.29,,,,TRUE,
Horseradish-Tree Leafy Tips,83.32,1.4,2,9.4,8.28,,,,TRUE,
"Horseradish-Tree, Leafy Tips",74.05,0.93,2,5.27,11.15,,,,TRUE,
"Horseradish-Tree, Pods",44.32,0.2,3.2,2.1,8.53,,,,TRUE,
"Hot Pockets Ham 'N Chs Stuffed Sndwch, Frz",266.3,11.1,0,11.6,30,,,,TRUE,
"Hot Pockets, Bf&Cheddar Stuffed Sndwch",284.2,14.2,0,11.5,27.6,,,,TRUE,
"Hot Pockets, Croissant Pockts Chik",234.6,8.6,1.1,8.9,30.4,,,,TRUE,
Huckleberries,37.3,0.1,0,0.4,8.7,,,,TRUE,
"Hummus, Commercial",175.16,9.6,6,7.9,14.29,,,,TRUE,
"Hummus, Home Prep",177.23,8.59,4,4.86,20.12,,,,TRUE,
"Hyacinth Bns, Mature Seeds",353.85,1.69,0,23.9,60.76,,,,TRUE,
"Hyacinth-Beans, Immat Seeds",46.96,0.2,0,2.1,9.19,,,,TRUE,
"Ice Creams, Breyers",157.98,6.26,0.7,3.71,21.7,,,,TRUE,
"Ice Creams, Choc",187.51,7.19,0.8,5,25.7,,,,TRUE,
"Ice Creams, French Vanilla",222.2,13,0.7,4.1,22.2,,,,TRUE,
"Ice Creams, Healthy Choic Praline & Caramel",170.21,2.97,1,3.67,32.2,,,,TRUE,
"Ice Creams, Reg",190.46,12.7,4.8,3.17,15.87,,,,TRUE,
"Ice Creams, Strawberry",198.8,8.4,0.9,3.2,27.6,,,,TRUE,
"Ice Creams, Vanilla",165.79,4.83,0.3,4.78,25.8,,,,TRUE,
"Imitation Chs, American Or Cheddar",392,32,0,25,1,,,,TRUE,
"Inf Fo, Me Jo",127.17,6.73,0,3.53,13.12,,,,TRUE,
"Inf Fo, Me John",505,27,0,12.5,53,,,,TRUE,
"Inf For Nutr, Si Lac Adva",128.59,6.95,0,2.73,13.78,,,,TRUE,
"Inf For, Ab N",126.65,6.89,0,2.64,13.52,,,,TRUE,
"Inf For, Abb Nu",69.86,3.26,0,1.8,8.33,,,,TRUE,
"Inf For, Abb Nut",79.72,4.24,0,2.12,8.27,,,,TRUE,
"Inf For, Abbott Nutr",69.18,3.74,0,1.48,7.4,,,,TRUE,
"Inf For, Me Joh",493.6,26,0,13.9,51,,,,TRUE,
"Inf For, Me John",65.74,3.5,0,1.38,7.18,,,,TRUE,
"Inf For, Me Johns",523.6,28,0,10.9,57,,,,TRUE,
"Inf For, Mea Jo",132.39,7.11,0,2.68,14.42,,,,TRUE,
"Inf For, Mejohn",62.5,3.5,0,1.64,6.11,,,,TRUE,
"Inf For, Ne",125.17,5.13,0,3.25,16.5,,,,TRUE,
"Inf For, Pbm Pr",130.2,7,0,2.9,13.9,,,,TRUE,
"Inf For, Pbm Prod",126.12,7,0,3.6,12.18,,,,TRUE,
"Inf Form, Ab Nutr",523.75,28.71,0,11.4,54.94,,,,TRUE,
"Inf Form, Abb Nutr",65.55,3.59,0,1.61,6.7,,,,TRUE,
"Inf Form, Abbnutr",520.46,28.14,0,11.13,55.67,,,,TRUE,
"Inf Form, Abbo Nutr",66.95,3.63,0,1.8,6.77,,,,TRUE,
"Inf Form, Abbonutr",522.31,28.87,0,10.89,54.73,,,,TRUE,
"Inf Form, Abbott Nutr",128.18,6.98,0,3.13,13.21,,,,TRUE,
"Inf Form, Me Jo",67.11,2.91,0,2.14,8.09,,,,TRUE,
"Inf Form, Me Johns",511,27,0,10.8,56.2,,,,TRUE,
"Inf Form, Mead Johns",131.04,6.96,0,2.76,14.34,,,,TRUE,
"Inf Form, Mead Johnson",501.8,25,0,14.2,55,,,,TRUE,
"Inf Form, Mejoh",131.07,7.11,0,3.19,13.58,,,,TRUE,
"Inf Form, Pbm",63.06,3.5,0,1.8,6.09,,,,TRUE,
"Inf Form, Pbm Prod",130.2,7,0,2.9,13.9,,,,TRUE,
"Inf Form, Pbm Produ",508,27.2,0,13.6,52.2,,,,TRUE,
"Inf Formmead John, Enfamil Lipil",65.74,3.5,0,1.38,7.18,,,,TRUE,
"Inf Formu, Mead Johns",479.8,21,0,15.6,57.1,,,,TRUE,
"Inf Formu, Pbm Pro",62.7,3.5,0,1.4,6.4,,,,TRUE,
"Inf Formula, A Nutr",517.49,28.09,0,12.6,53.57,,,,TRUE,
"Inf Formula, Abb Nutr",65.55,3.59,0,1.61,6.7,,,,TRUE,
"Inf Formula, Abbott Nutr",65.07,3.55,0,1.36,6.92,,,,TRUE,
"Inf Formula, Mead Johnson",65.74,3.5,0,1.38,7.18,,,,TRUE,
"Inf Formula, Nes",126.46,6.5,0,2.79,14.2,,,,TRUE,
"Inf Formula, Nestle",65.69,3.37,0,1.45,7.39,,,,TRUE,
"Inf Formula, Pbm Pro",63.06,3.5,0,1.8,6.09,,,,TRUE,
"Inf Formula, Pbm Products",524,28,0,12,56,,,,TRUE,
"Infant Formula, Mead Johnson",65.74,3.5,0,1.38,7.18,,,,TRUE,
Jackfruit,104.62,0.3,1.6,1.47,24.01,,,,TRUE,
"Jackfruit, Cnd",98.46,0.14,0.9,0.36,23.94,,,,TRUE,
"Jams & Preserves, Dietetic",218.3,0.3,2.5,0.3,53.6,,,,TRUE,
"Jams&Preserves, Apricot",262.2,0.2,0.3,0.7,64.4,,,,TRUE,
Java-Plum,67.19,0.23,0,0.72,15.56,,,,TRUE,
Jellies,280.58,0.02,1,0.15,69.95,,,,TRUE,
"Jellies, Red Sugar",185.87,0.03,0.8,0.3,46.1,,,,TRUE,
"Jellyfish, Dried",34.6,1.4,0,5.5,0,,,,TRUE,
Jerusalem-Artichokes,77.85,0.01,1.6,2,17.44,,,,TRUE,
Jew'S Ear,29.28,0.04,0,0.48,6.75,,,,TRUE,
"Jimmy Dean, Sausage Biscuits",400.6,29.4,1.5,9.9,24.1,,,,TRUE,
"Juice, Appl",53.6,0.12,0,0.17,12.96,,,,TRUE,
"Juice, Appl & Grape Blend",51.56,0.12,0,0.16,12.46,,,,TRUE,
Jujube,87.52,0.2,0,1.2,20.23,,,,TRUE,
"Jujube, Dried",319.1,1.1,0,3.7,73.6,,,,TRUE,
"Jute, Potherb",44.05,0.25,0,4.65,5.8,,,,TRUE,
Kale,59.54,0.7,2,3.3,10.01,,,,TRUE,
"Kale, Ckd",33.72,0.4,2,1.9,5.63,,,,TRUE,
"Kale, Frozen",34.38,0.46,2,2.66,4.9,,,,TRUE,
"Kale, Frz",36.69,0.49,2,2.84,5.23,,,,TRUE,
"Kale, Scotch",49.88,0.6,1.7,2.8,8.32,,,,TRUE,
"Kamut, Ckd",155.83,0.91,0,6.45,30.46,,,,TRUE,
"Kamut, Unckd",360.12,2.2,9.1,14.7,70.38,,,,TRUE,
Kanpyo,299.52,0.56,0,8.58,65.04,,,,TRUE,
"Keebler, Keebler Choc Graham Selects",465,16.6,0,7.1,71.8,,,,TRUE,
"Keebler, Keebler Golden Vanilla Wafers",475.1,19.5,0,5.2,69.7,,,,TRUE,
"Kellogg'S Pop-Tarts Pastry Swirls, Appl Cinn Danish",417.3,17.7,1.4,4.8,59.7,,,,TRUE,
"Kellogg'S Pop-Tarts Pastry Swirls, Chs Danish",414.9,17.7,0.5,4.8,59.1,,,,TRUE,
"Kellogg'S Pop-Tarts Pastry Swirls, Strawberry Danish",418.5,17.7,1.8,4.8,60,,,,TRUE,
"Kellogg, Kellogg'S Lofat Pop Tarts",373.9,5.5,1.2,4.5,76.6,,,,TRUE,
"Kellogg, Kellogg'S Nutri-Grain Crl Bars",376.8,7.6,1.9,4.3,72.8,,,,TRUE,
"Kentucky Fried Chick, Biscuit",356.09,17.45,1.5,7.25,42.51,,,,TRUE,
"Kentucky Fried Chick, Coleslaw",144,8.64,2,0.91,15.65,,,,TRUE,
"Kentucky Fried Chick, Crispy Chick Strips",274.1,15.26,1.4,20.47,13.72,,,,TRUE,
"Kentucky Fried Chick, Ex Crispy",166.36,5.32,0,29.47,0.15,,,,TRUE,
"Kentucky Fried Chick, Original Recipe",170.49,5.85,0,29.46,0,,,,TRUE,
"Kentucky Fried Chick, Original Recpe",378.77,29.01,1.3,12.17,17.25,,,,TRUE,
"Kentucky Fried Chick, Popcorn Chick",361.08,22.64,1,18.03,21.3,,,,TRUE,
"Kentucky Fried Chick, Potato Wedges",283.33,14.77,3.1,4.05,33.55,,,,TRUE,
"Kid Cuisine Chk Nug, Psta In Chs Sau",177.9,7.78,2.9,7.2,19.77,,,,TRUE,
"Kielbasa, Kolbassy",305.77,27.29,0,12.23,2.81,,,,TRUE,
"Kielbasa, Polish",226.4,17.6,0,13.1,3.9,,,,TRUE,
"Kiwi Fruit, Frsh",67.88,0.52,3,1.14,14.66,,,,TRUE,
"Kiwifruit, Held In Storage",67.44,0.44,3.4,0.99,14.88,,,,TRUE,
Kohlrabi,32.5,0.1,3.6,1.7,6.2,,,,TRUE,
"Kohlrabi, Ckd",34.95,0.11,1.1,1.8,6.69,,,,TRUE,
Kraft Breyers Lowfat Strawberry Yogurt,95.2,0.8,0.2,3.8,18.2,,,,TRUE,
"Kraft Foods, Shake 'N' Bake Orig Recipe",376.9,3.7,0,6.1,79.8,,,,TRUE,
"Kraft Macaroni & Cheese Dinner Original Flavor, Unprep",369.7,3.7,2.1,16.2,67.9,,,,TRUE,
"Kraft, Stove Top Stuffing Mix Chicken Flavor",379.7,4.1,2.5,12.6,73.1,,,,TRUE,
Kumquats,78.86,0.86,6.5,1.88,15.9,,,,TRUE,
"Lamb, Aus",644.91,68.87,0,6.27,0,,,,TRUE,
"Lamb, Dom",196.06,13.38,0,18.91,0,,,,TRUE,
"Lamb, Ground",276.93,23.41,0,16.56,0,,,,TRUE,
"Lamb, Nz",217.51,16.15,0,18.04,0,,,,TRUE,
"Lamb, Var Meats&By-Products",118.82,8.58,0,10.4,0,,,,TRUE,
"Lambs Quarters, Ckd",39.1,0.7,2.1,3.2,5,,,,TRUE,
Lambsquarters,53.2,0.8,4,4.2,7.3,,,,TRUE,
"Lambsquarters, Ckd",39.1,0.7,2.1,3.2,5,,,,TRUE,
"Lambsquarters, Stmd",47.56,0.16,5.2,4.06,7.47,,,,TRUE,
Lard,900,100,0,0,0,,,,TRUE,
"Leavening Agents, Baking Pdr",191.6,0.4,2.2,0.1,46.9,,,,TRUE,
"Leavening Agents, Baking Soda",0,0,0,0,0,,,,TRUE,
"Leavening Agents, Crm Of Tartar",246,0,0.2,0,61.5,,,,TRUE,
"Leavening Agents, Yeast",123.1,1.9,8.1,8.4,18.1,,,,TRUE,
Lebanon Bologna Bf,171.84,10.44,0,19.03,0.44,,,,TRUE,
Leeks,65.3,0.3,1.8,1.5,14.15,,,,TRUE,
"Leeks, Ckd",35.52,0.2,1,0.81,7.62,,,,TRUE,
"Leeks, Freeze-Dried",378.3,2.1,10.4,15.2,74.65,,,,TRUE,
Lemon Grass,112.93,0.49,0,1.82,25.31,,,,TRUE,
"Lemon Juc, Cnd Or Btld",30.13,0.29,0.4,0.4,6.48,,,,TRUE,
"Lemon Juc, Frz",30.72,0.32,0.4,0.46,6.5,,,,TRUE,
Lemon Juice,36.04,0,0.4,0.38,8.63,,,,TRUE,
Lemon Peel,72.7,0.3,10.6,1.5,16,,,,TRUE,
"Lemonade, Frz Conc",191,0.2,0.2,0.3,47,,,,TRUE,
"Lemonade, Lo Cal",351.9,0.3,0.1,3.6,83.7,,,,TRUE,
"Lemonade, Pdr",38.88,0,0,0,9.72,,,,TRUE,
"Lemonade, Powder",377.76,0,0,0,94.44,,,,TRUE,
"Lemonade-Flavor Drk, Pdr",378.16,0,0,0.1,94.44,,,,TRUE,
"Lemons, With Peel",50.3,0.3,4.7,1.2,10.7,,,,TRUE,
"Lemons, Without Peel",44.38,0.3,2.8,1.1,9.32,,,,TRUE,
Lentils,353.06,1.06,30.5,25.8,60.08,,,,TRUE,
"Lentils, Mature Seeds",120.02,0.38,7.9,9.02,20.13,,,,TRUE,
"Lentils, Pink",355.93,2.17,10.8,24.95,59.15,,,,TRUE,
"Lentils, Sprouted",129.35,0.55,0,8.96,22.14,,,,TRUE,
"Lettuce, Butterhead",16.3,0.22,1.1,1.35,2.23,,,,TRUE,
"Lettuce, Cos Or Romaine",20.78,0.3,2.1,1.23,3.29,,,,TRUE,
"Lettuce, Grn Leaf",17.95,0.15,1.3,1.36,2.79,,,,TRUE,
"Lettuce, Iceberg",16.74,0.14,1.2,0.9,2.97,,,,TRUE,
"Lettuce, Red Leaf",16.34,0.22,0.9,1.33,2.26,,,,TRUE,
"Light Ice Crm, Soft Serve",181.5,6.46,0.2,4.02,26.82,,,,TRUE,
"Lima Bns, Immat Seeds",115.78,0.86,4.9,6.84,20.17,,,,TRUE,
"Lima Bns, Lrg",345.57,0.69,19,21.46,63.38,,,,TRUE,
"Lima Bns, Thin Seeded",342.17,0.93,20.6,20.62,62.83,,,,TRUE,
"Lime Juc, Cnd Or Btld",29.83,0.23,0.4,0.25,6.69,,,,TRUE,
Lime Juice,35.99,0.07,0.4,0.42,8.42,,,,TRUE,
"Limeade, Frz Conc",249.28,0,0,0,62.32,,,,TRUE,
Limes,46.76,0.2,2.8,0.7,10.54,,,,TRUE,
Ling,81.72,0.64,0,18.99,0,,,,TRUE,
"Ling, Dry Heat",104.78,0.82,0,24.35,0,,,,TRUE,
Lingcod,80.18,1.06,0,17.66,0,,,,TRUE,
"Lingcod, Dry Heat",102.8,1.36,0,22.64,0,,,,TRUE,
Litchis,73.4,0.44,1.3,0.83,16.53,,,,TRUE,
"Litchis, Dried",308.8,1.2,4.6,3.8,70.7,,,,TRUE,
"Liver Cheese, Pork",299.6,25.6,0,15.2,2.1,,,,TRUE,
"Liver Sausage, Liverwurst",321.7,28.5,0,14.1,2.2,,,,TRUE,
Liverwurst Sprd,302.13,25.45,2.5,12.38,5.89,,,,TRUE,
"Lobster, Northern",85.3,0.9,0,18.8,0.5,,,,TRUE,
"Loganberries, Frozen",60.95,0.31,5.3,1.52,13.02,,,,TRUE,
"Loma Linda Big Franks, Cnd",217.23,12.03,3.5,21.47,5.77,,,,TRUE,
"Loma Linda Dinner Cuts, Cnd",104.34,1.1,2.4,19.46,4.15,,,,TRUE,
"Loma Linda Fried Chik'N W/ Gravy, Cnd",180.59,11.91,2.8,13.15,5.2,,,,TRUE,
"Loma Linda Linketts, Cnd",208.4,11.76,3,21.29,4.35,,,,TRUE,
"Loma Linda Little Links, Cnd",220.78,13.46,4.2,19.38,5.53,,,,TRUE,
"Loma Linda Lofat Big Franks, Cnd",154.21,4.69,4.1,23.1,4.9,,,,TRUE,
"Loma Linda Swiss Stake W/ Gravy, Cnd",140.75,6.51,3.2,10.17,10.37,,,,TRUE,
"Loma Linda Tender Bits, Cnd",135.4,4.64,4.3,15.12,8.29,,,,TRUE,
"Loma Linda Tender Rounds W/ Gravy, Cnd",145.31,5.63,3.5,16.26,7.4,,,,TRUE,
Longans,66.7,0.1,1.1,1.31,15.14,,,,TRUE,
"Longans, Dried",319.2,0.4,0,4.9,74,,,,TRUE,
Loquats,52.08,0.2,1.7,0.43,12.14,,,,TRUE,
Lotus Root,80.22,0.1,4.9,2.6,17.23,,,,TRUE,
"Lotus Root, Ckd",71.03,0.07,3.1,1.58,16.02,,,,TRUE,
Lotus Seeds,90.41,0.53,0,4.13,17.28,,,,TRUE,
"Lotus Seeds, Dried",337.25,1.97,0,15.41,64.47,,,,TRUE,
"Louis Rich, Chick",127.6,5.6,0,17,2.3,,,,TRUE,
"Louis Rich, Chick Breast",101.2,2,0,18.3,2.5,,,,TRUE,
"Louis Rich, Chick Breast Classic Bkd /Grill",98.1,0.5,0,19.7,3.7,,,,TRUE,
